"","age","age2","dom.decid","dom.pine","dom.mixed","dom.spruce","dom.Bspr","dom.larch","dom.low","dom.open"
"BG_18_91",80.4602422339552,6473.85058034675,0.818560033533726,0,0,0,0,0,0,0
"BG_18_92",97.2344216190662,9454.53274759432,0,0,0,1,0,0,0,0
"BG_18_93",44.2898620392486,1961.59187945568,0,0,0,1,0,0,0,0
"BG_18_94",32.4639910093951,1053.91071225809,0,0,0,1,0,0,0,0
"BG_18_95",22.6156123115059,511.465920224339,0,0,0,1,0,0,0,0
"BG_18_96",28.4399545626514,808.831015525678,0,0,0,1,0,0,0,0
"BG_18_97",73.2828611617871,5370.37774005776,0,0,0,0.491576069119804,0.494382849867684,0,0,0
"BG_18_98",131.236083932394,17222.9097259105,0,0.513483794910211,0,0,0,0,0,0
"BG_18_99",16.150874922094,260.850760749126,0,0,0,1,0,0,0,0
"BG_15_1",91.6263125120355,8395.38114455319,0,0,0,0,0.320488866594165,0.679493528329148,0,0
"BG_15_10",84.4785897215653,7136.63212134456,0.0886914544223816,0.475909921742335,0,0,0,0,0,0
"BG_15_17",70.5056132193852,4971.04149544155,0.240947967835548,0.449429999933515,0,0,0,0,0,0
"BG_15_18",79.5002611601725,6320.29152453563,0,0,0,0,0.062770065113946,0.472546491604039,0,0
"BG_15_19",78.5565326813296,6171.1288269128,0,0,0,0,0,1,0,0
"BG_15_20",104.794513121384,10981.8899803478,0,0,0,0,0.387252191292016,0,0,0
"BG_15_7",71.3290498846971,5087.8333574536,0.250564701977962,0.3670860700043,0,0,0,0,0,0
"BG_15_8",78.3629213890879,6140.74744863237,0,0.515023178953038,0,0,0,0.0449784084795604,0,0
"BG_15_84",81.7213720058219,6678.38264251393,0,0,0,0,0,0,0,0
"BG_15_9",80,6400,0,0.146526389484219,0,0,0,0.853458393725243,0,0
"BG_16_13",88.3773912298102,7810.56328058693,0,0,0,0,0.154608375109457,0.253160136279101,0,0
"BG_16_17",122.945216700214,15115.5263094626,0.717816885443566,0,0,0.282164741183804,0,0,0,0
"BG_16_18",113.68445600218,12924.1555365116,0.706758301335255,0,0.293225557672064,0,0,0,0,0
"BG_16_21",87.5690960963624,7668.34659113395,0.0274339329115473,0,0.366217108630983,0,0,0,0,0
"BG_16_22",116.423401285055,13554.4083667809,0,0,0,0,1,0,0,0
"BG_16_25",96.4656413204409,9305.61995536395,0.616399140026821,0,0,0.271848537222496,0,0,0,0
"BG_16_26",81.3466304782552,6617.27429016579,0,0,0,0.732930347003253,0,0,0,0
"BG_16_29",109.277052817664,11941.4742725145,0.492357560634051,0,0,0.408116672416685,0,0,0,0
"BG_16_3",68.3083108749604,4666.02533459023,0,0,0.387323171623803,0,0,0.20314778663769,0,0
"BG_16_30",52.818336726443,2789.77669454792,0.213754382444626,0.552103162841041,0,0,0,0,0,0
"BG_16_31",100,10000,1,0,0,0,0,0,0,0
"BG_16_32",110.956626409838,12311.3729442523,0.85065002510618,0,0,0,0,0,0,0
"BG_16_35",68.4607321789843,4686.87185048261,0.248752869373408,0,0.329743842512934,0,0,0,0,0
"BG_16_36",94.0170005550029,8839.19639335941,0,0,0.832601908318562,0.0831658720815096,0,0,0,0
"BG_16_39",133.226194206453,17749.2188227354,0.833466475629033,0,0,0,0,0,0,0
"BG_16_4",85.4778264961251,7306.45882250166,0.734637128970279,0,0.0448807000486031,0,0,0,0,0
"BG_16_40",107.996453146895,11663.2338923094,1,0,0,0,0,0,0,0
"BG_16_43",123.653464865305,15290.1793731952,0.373655953714849,0,0,0,0.626329621308139,0,0,0
"BG_16_44",44.646250165499,1993.28765384032,0.547298142537697,0,0.432805603477119,0,0,0,0,0
"BG_16_47",72.8805876547728,5311.58005690502,1,0,0,0,0,0,0,0
"BG_16_48",85.3758907272582,7289.04271747273,1,0,0,0,0,0,0,0
"BG_16_53",100,10000,0.894001418391062,0,0,0,0,0,0,0
"BG_16_54",54.4297507553474,2962.59776728924,1,0,0,0,0,0,0,0
"BG_16_57",30.8301568074131,950.498568769681,0.830828192261846,0,0.169155489878352,0,0,0,0,0
"BG_16_58",76.6259358301025,5871.53404183899,0.106115322572579,0,0,0.167337412862852,0,0,0,0
"BG_16_61",110.846938026415,12287.043669832,0,0,0,0.0010369067779975,0,0,0,0
"BG_16_62",107.573271715048,11572.0087874796,0.11382733429698,0,0,0.198732340588291,0,0,0,0
"BG_16_65",63.1103858207171,3982.92079843977,0,0,0,0.731242241140222,0,0,0,0
"BG_16_7",101.491005628187,10300.4242234206,1,0,0,0,0,0,0,0
"BG_16_70",107.97307223758,11658.1843284217,0.0656736907534299,0,0,0,0.097461476345167,0,0.181665540398104,0
"BG_16_71",112.190776638535,12586.7703627578,0,0,0,1,0,0,0,0
"BG_16_72",143.330336548872,20543.585375213,0,0,0,0.895545194742494,0,0,0,0
"BG_16_75",29.8159708552526,888.992118041273,1,0,0,0,0,0,0,0
"BG_16_76",74.8238603168302,5598.61007271252,0,0,0.123744737390797,0.113540344830358,0,0,0,0
"BG_16_79",78.6314031568157,6182.89756240969,0,0,0,0,0.858767103256113,0,0,0
"BG_16_8",87.2965558446748,7620.68866234243,0.826534718735456,0,0,0.173448791687169,0,0,0,0
"BG_16_80",30.6643511846404,940.302433574959,0.315993865250224,0.362509623374696,0,0,0,0,0,0
"BG_16_83",87.5208203671909,7659.89399774609,0.978103559830649,0,0.0218814894604132,0,0,0,0,0
"BG_16_84",83.4579611880065,6965.23128565881,1,0,0,0,0,0,0,0
"BG_16_88",21.7693652035438,473.905261365265,1,0,0,0,0,0,0,0
"BG_16_93",55.6347769587579,3095.22840725074,1,0,0,0,0,0,0,0
"BG_16_94",50.3066889276143,2530.76295085975,0.768081313506548,0,0.199670638875014,0,0,0,0,0
